,temperature,replicate,combination,richness,inv_community_CV,resist
294,21,2,"Colp, Para, Dexio",3,2.02742225,-0.006658412
295,21,2,"Colp, Spiro",2,1.881755107,-0.006119505
296,21,2,"Colp, Tetra, Loxo",3,2.313000856,-0.009488388
297,21,2,Dexio,1,1.070746036,0.000192354
298,21,2,"Dexio, Loxo",2,3.996937062,0.0025183
299,21,2,"Dexio, Loxo, Para, Spiro",4,3.016602801,-0.0082491
300,21,2,"Dexio, Para",2,1.330997858,-0.000347757
301,21,2,"Dexio, Spiro",2,1.804847338,-0.002596544
302,21,2,Loxo,1,2.473574272,0.012496327
303,21,2,"Loxo, Para",2,1.771773528,-0.010232257
304,21,2,"Loxo, Spiro",2,1.810828061,-0.007745449
305,21,2,Para,1,1.140851529,-0.002925683
306,21,2,"Para, Spiro",2,1.591970836,-0.003628753
307,21,2,Spiro,1,2.330827684,0.004946675
308,21,2,"Spiro, Colp, Para",3,1.692188118,-0.010808202
309,21,2,"Spiro, Colp, Tetra",3,1.786220666,-0.003514206
310,21,2,"Spiro, Loxo, Dexio",3,1.865494451,-0.006228146
311,21,2,"Spiro, Loxo, Para",3,3.237755661,-0.009925386
312,21,2,"Spiro, Tetra, Dexio",3,2.772126139,0.002494124
313,21,2,Tetra,1,0.487714619,-0.008484578
314,21,2,"Tetra, Colp",2,1.813121038,-0.00391745
315,21,2,"Tetra, Colp, Dexio, Loxo",4,1.988517554,-0.01302533
316,21,2,"Tetra, Colp, Dexio, Loxo, Para",5,1.983248713,-0.015810747
317,21,2,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,5.000439349,-0.014969583
318,21,2,"Tetra, Colp, Dexio, Loxo, Spiro",5,3.452316551,-0.003531911
319,21,2,"Tetra, Colp, Dexio, Para",4,1.873522358,-0.005187797
320,21,2,"Tetra, Colp, Dexio, Para, Spiro",5,1.790766915,-0.006942569
321,21,2,"Tetra, Colp, Dexio, Spiro",4,2.536441486,-0.005165059
322,21,2,"Tetra, Colp, Loxo, Para",4,1.450314391,-0.03027585
323,21,2,"Tetra, Colp, Loxo, Para, Spiro",5,1.991052776,-0.012412502
324,21,2,"Tetra, Colp, Loxo, Spiro",4,3.989309608,0.009918699
325,21,2,"Tetra, Colp, Para, Spiro",4,2.102169642,-0.009488248
326,21,2,"Tetra, Dexio",2,2.261038098,-0.001792917
327,21,2,"Tetra, Dexio, Loxo, Para",4,1.701602165,-0.019578159
328,21,2,"Tetra, Dexio, Loxo, Para, Spiro",5,2.649289091,-0.011332714
329,21,2,"Tetra, Dexio, Loxo, Spiro",4,2.486072025,0.003051653
330,21,2,"Tetra, Dexio, Para, Spiro",4,1.273861943,-0.009004935
331,21,2,"Tetra, Loxo",2,2.189496182,-0.010501219
332,21,2,"Tetra, Loxo, Para",3,1.711408463,-0.017067863
333,21,2,"Tetra, Loxo, Para, Spiro",4,3.832820252,-0.011648768
334,21,2,"Tetra, Para",2,1.102368609,-0.008505822
335,21,2,"Tetra, Para, Dexio",3,1.440294108,-0.004119008
336,21,2,"Tetra, Spiro",2,1.503270045,0.006173472
337,21,3,Colp,1,1.282962121,-0.001114668
338,21,3,Dexio,1,2.345936856,0.00429359
339,21,3,Loxo,1,1.210887337,-0.008440655
340,21,3,Para,1,1.057136294,-0.004940213
341,21,3,Spiro,1,1.583309217,0.001551335
342,21,3,Tetra,1,0.551430457,-0.005574426
343,21,3,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,2.959551814,-0.016592957
344,21,4,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,2.764590503,-0.013487653
345,21,5,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,2.906722376,-0.014298836
346,23,1,Colp,1,1.721331119,-0.003286912
347,23,1,"Colp, Dexio",2,1.384638545,-0.003082036
348,23,1,"Colp, Dexio, Loxo, Para",4,1.23752915,-0.014536979
349,23,1,"Colp, Dexio, Loxo, Para, Spiro",5,1.588832018,-0.018099315
350,23,1,"Colp, Dexio, Loxo, Spiro",4,1.869444769,-0.009940378
351,23,1,"Colp, Dexio, Para, Spiro",4,2.216150086,-0.005995421
352,23,1,"Colp, Loxo",2,1.404609441,-0.01469863
353,23,1,"Colp, Loxo, Dexio",3,2.020857043,-0.011203173
354,23,1,"Colp, Loxo, Para, Spiro",4,2.421554011,-0.015224153
355,23,1,"Colp, Para",2,1.047637698,-0.011267899
356,23,1,"Colp, Para, Dexio",3,1.351695507,-0.00913478
357,23,1,"Colp, Spiro",2,1.491238357,-0.00575478
358,23,1,"Colp, Tetra, Loxo",3,1.388112092,-0.008203149
359,23,1,Dexio,1,0.876086629,-0.001743139
360,23,1,"Dexio, Loxo",2,2.899825203,-0.003095873
361,23,1,"Dexio, Loxo, Para, Spiro",4,2.18949992,-0.010028373
362,23,1,"Dexio, Para",2,1.283958817,-0.004833398
363,23,1,"Dexio, Spiro",2,1.382230173,-0.003386534
364,23,1,Loxo,1,1.119554268,-0.008033522
365,23,1,"Loxo, Para",2,1.252379878,-0.01399174
366,23,1,"Loxo, Spiro",2,3.242457237,0.011513403
367,23,1,Para,1,0.983390089,-0.004669591
368,23,1,"Para, Spiro",2,1.068077535,-0.003553695
369,23,1,Spiro,1,1.507949,0.000944269
370,23,1,"Spiro, Colp, Para",3,1.477083097,-0.007769899
371,23,1,"Spiro, Colp, Tetra",3,2.098110095,-0.004537489
372,23,1,"Spiro, Loxo, Dexio",3,3.378619013,-0.0019282
373,23,1,"Spiro, Loxo, Para",3,2.940467632,-0.005644054
374,23,1,"Spiro, Tetra, Dexio",3,1.418344247,-0.000626197
375,23,1,Tetra,1,0.386281305,-0.005465165
376,23,1,"Tetra, Colp",2,2.238316255,-0.00290059
377,23,1,"Tetra, Colp, Dexio, Loxo",4,1.568611845,-0.011099029
378,23,1,"Tetra, Colp, Dexio, Loxo, Para",5,1.443591722,-0.01595738
379,23,1,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,1.538729121,-0.015749087
380,23,1,"Tetra, Colp, Dexio, Loxo, Spiro",5,1.8942491,-0.009167718
381,23,1,"Tetra, Colp, Dexio, Para",4,1.340857797,-0.009369172
382,23,1,"Tetra, Colp, Dexio, Para, Spiro",5,1.617756379,-0.00372365
383,23,1,"Tetra, Colp, Dexio, Spiro",4,1.167503204,-0.005737428
384,23,1,"Tetra, Colp, Loxo, Para",4,1.326089745,-0.025156337
385,23,1,"Tetra, Colp, Loxo, Para, Spiro",5,1.593759855,-0.012316567
386,23,1,"Tetra, Colp, Loxo, Spiro",4,1.855510509,-0.005165385
387,23,1,"Tetra, Colp, Para, Spiro",4,1.474510895,-0.008242189
388,23,1,"Tetra, Dexio",2,1.154021698,-0.002387885
389,23,1,"Tetra, Dexio, Loxo, Para",4,1.904416018,-0.018472924
390,23,1,"Tetra, Dexio, Loxo, Para, Spiro",5,3.808061147,-0.011404236
391,23,1,"Tetra, Dexio, Loxo, Spiro",4,1.983736865,-0.008744841
392,23,1,"Tetra, Dexio, Para, Spiro",4,1.629326745,-0.006985616
